player_state,purchase_time_group,matched_sets,case_win_rate,control_win_rate,risk_difference,risk_difference_ci_low,risk_difference_ci_high
close,before_15m,1215,0.6954732510288066,0.6400548696844994,0.05541838134430728,0.024817355552306464,0.0860194071363081
close,15_to_25m,3002,0.7325116588940707,0.6804352653786364,0.052076393515434166,0.03426310780081413,0.06988967923005421
ahead,before_15m,3101,0.8384392131570461,0.7952810921208212,0.04315812103622488,0.027193809953686345,0.05912243211876341
close,after_25m,1613,0.6900185988840669,0.6470345112626574,0.042984087621409386,0.01707494043071764,0.06889323481210113
ahead,15_to_25m,7507,0.8376182229918743,0.7965898494738244,0.04102837351804983,0.031076853219617256,0.05097989381648241
behind,after_25m,814,0.5700245700245701,0.5403357903357904,0.029688779688779695,-0.0079488659898414,0.06732642536740079
behind,15_to_25m,689,0.5616835994194485,0.5345911949685536,0.027092404450895023,-0.009591154210091539,0.06377596311188158
ahead,after_25m,3002,0.7681545636242505,0.74206084832334,0.026093715300910512,0.00897227954311014,0.043215151058710884
