team_state,purchase_time_group,matched_sets,case_win_rate,control_win_rate,risk_difference,risk_difference_ci_low,risk_difference_ci_high
close,15_to_25m,2330,0.6351931330472103,0.5183118741058654,0.1168812589413448,0.0912217443923952,0.1425407734902944
close,before_15m,1417,0.6436132674664785,0.5298753234533051,0.11373794401317339,0.08173712649910653,0.14573876152724025
behind,15_to_25m,927,0.2297734627831715,0.13088816972312117,0.09888529306005035,0.06772682913536608,0.13004375698473464
behind,after_25m,923,0.27193932827735645,0.18562657999277715,0.08631274828457927,0.050440041837705965,0.12218545473145258
close,after_25m,1252,0.6150159744408946,0.5453940362087326,0.0696219382321619,0.0335930975991562,0.10565077886516759
ahead,before_15m,2788,0.9049497847919655,0.8888689622190341,0.016080822572931617,0.001675981630557705,0.03048566351530553
ahead,15_to_25m,7941,0.9042941695000629,0.8893086513033623,0.014985518196700673,0.006454907956283746,0.0235161284371176
ahead,after_25m,3254,0.8795328826060234,0.8779963122311002,0.0015365703749231764,-0.012774435527506837,0.01584757627735319
