puuid,platform,match_routing
-qH8U_CrIUZIX7H7AkFFDujsCeIY_7tbRzgmU8m9S9-bb-VhivtNHiPZ5lvmW73ACdeS41ziV8R6jA,na1,americas
TD8Y1udqVmox-GcSeGxUplNLJDn5f-QkRiskluLIWAbPAk3NfULWXd3ZffPwIBR5HBf5RnMaNmHVQQ,na1,americas
EBn2_NwY8IqY4Gj3n0TYrnV9n4sikD_s9T56BKEWBCqGaRWsAtF7kaoGEaaj8kDqvjDIq3HSGHeBjA,vn2,sea
g-I3oD6xBZHZndeZnyd2bezB6pHRvKlSVrwIJvqZgiGrnE6L6TP50qrxTXRpEsmXoFzaGWWpZ4R-fw,kr,asia
DeYgwTga9OeI4YiqafqJXg-LP8HpTorWSR10sXl-ZsEzdGvg_RKxs13cXuvn6B3dCyIx0EZ9ydnIQA,euw1,europe
p0NjDl5SfefTow5JVfmga3iv_Ivpt7qJwkecaVpCiRgKPzzP8FDYB8aLLPDnfLHg_7c2gzdRSDtH6Q,na1,americas
jFQdYgGDPRZldsRQODrhs14abE031YgfTFDOO-f799FS3eW4ig73-F33rjFbmwdd4o6IQ1AJf_28bw,euw1,europe
h3IHi1tzf6zWMT0xmxwgWaTtGMFmyCma9y2vltt7fHAneIi92QD7Z-1l_maBtrJYtrUTzCinx2dy5g,kr,asia
HkVqsZnqU8Ybx10Z4B2OtpHdhPKCqyb5WhCgXwfy6NFs91QiyTUCvGcjfW1hdzmpOS9YB9cTYLx8eA,euw1,europe
5iDLhz1s04NH8prEnYFyvP92EWOy4p_-WSa0ciIdw5A3SOQgY5oRvWUoCXsBwJAQC7HCCTyIxoFiTA,vn2,sea
8-kgU8p0wDLQ7Iq5itCRw9Cf9Q7fR49pqoI-l3dKnaAX9cm-wBxyY3GkcL-KQ3Cpd1AGAGHbOqCxfA,euw1,europe
DE5sFzmAokHkK1oE6AkAPmC85GPlmtbu7SaMGeE-02CTWCs74w4hhqPTN2zrLt1oc2kq8_cCod1cBA,na1,americas
3VNlKULpPgAZR1oQWq-BiCi49K4b5VTElVBWVNzDtAAJuwdtjl96SdOYeYVmUl4ddBEB1oE1Oowckg,kr,asia
4Nxk36Yb-xUS-s7l3afuNHPoNQG9q3gLVzIrKIcr3JZV1aoVpR22A544Z5MzpLrxpdIrnf1zgE7d1w,vn2,sea
HzKkNAYUWS0bLxC2KA8TT53MXLyXb0VCllO4ZJfvLeeGVBV1bWK7CpieOUmEw5yu3RqZ2MMrS_-2-A,na1,americas
pR9V_1XCgtVdz-gJfk82QmbRVORDgHeC8kWrboHmtd2pM7uVJsY-f1jqCSqCUD_bGgvaNjJvsjiAgA,na1,americas
wRy2CM7y28ELd-EXBP8liYO1NXqoGnJoUyFq3tDSq44V0n22KpV3SlQ9PHtdrD66c9BaJ_d-6S968w,kr,asia
las8BlBYxRjXAXYg3GXc8xB8fwP9ujrlgQQlGCtleJNUihWD1X3H0HeEZ-cRl49fkMt1AV2xfY_Crg,kr,asia
xBBRr1Kw5X37E8MFMw1OmdLwyTjRdQRWBNYCp_vBYOyl0xf5EfMRb_y4LOhNdp7T-vDDtnL5Y8e45g,vn2,sea
LvBdAbMzvosO0rTxkpZLBKVlPIj-X2MVadUPCJTvZYLsrj6qD_1S0jhF6vBhHUaOo1QXi0knvnHOqA,vn2,sea
90xiW49-dwoDfkkJ6I-dMpVc6e8fRU7fElwVqmwhjJ_8cGTMFSBm2dtIKzRCQIWqFXxhWxK-jyanUw,kr,asia
S1tfieUCYu5lFi0AgpeXqhvcrUGJlmoy0esEqmcXvKiRR0JrutcdSY3TM2hcr7lMQGFpnKKHXPH1-w,kr,asia
hOXC9Tm5xBYowKcjuZN-5siHr6zpFCg8tkwfU5ZiaE3XRd11Dbzl1GUnkSv98kbpUi_ZpO-ZG9tmkw,euw1,europe
5ccj4WybYDaG52UYWXq_HPCZahvxmwp5nUiBWKZnmvQ1oCWlKkmTnfI4q1LU5jScEl0W24bTG1Og7w,na1,americas
uTC3cG7ISocS-1J1ENI_61hpq6x7CdyBw1qQ2R54NiOIrp-338BE1a0tgShQY0WQxJIeLgBTLlwrsw,na1,americas
3ics91x6w5IU4pEkreihnCAj8DMvdDWpQxJ06wnc0JzkYyRZvSrxTpgPce50-0VP86bEcIBYKkMkSw,na1,americas
7wmaa4BZwkLX2xzIEFmCAVUbVLeqAH49DeOicT9nraX3sW7KgfBEmBm4mcGtkcaWzK_TLh9_2jUqaA,euw1,europe
kRTjj36N5dkVIviV1ZCUmNHc5yN3GpjRCFtyLOpNvCAhzFNDJ9dzqZ5_81kFVTSULwJOjrkxIZ9tiw,vn2,sea
HpuULVSJfMqsQNZFPeNIpjCFZwKjfurpR6W_N729_Yt75PbYxRegfjtx8e4okB34k7VOdBWxmQ806g,vn2,sea
NYSnXyAk20icK1eqld_R5xcJ5S6xikdMQZmDZb75umWny2ZfULD0Th3eXWTBR2INrniRgdcyc3gq8A,kr,asia
FPDpW9zSZ8QJadZkzM4jXtvIpDogldvMzrsLoMlso13mr8VTxBBx2giHGLSfWZEar2A_jUrJDtJmkA,vn2,sea
WawMEFFXf0be-C-n01dc_VcbWoC04Ns0q7pZM8dR-uyvewuDKU4fCciv3VFyFZFqhx4X9kA1O9bgQg,euw1,europe
VK-ZPmpY0PbsJe_eoBfmwJvgzitQyHFFgnfS1qsQ85lFnE6FOIiYEdji8rHWz42i6SfCP6pGIptWlg,vn2,sea
