sample,target_cases,matched_cases,unmatched_cases,coverage,selected_control_rows,cases_with_1_control,cases_with_2_controls,cases_with_3_controls,exact_dark_seal_control_rows,fallback_control_rows,cases_using_fallback,mean_selection_score,median_selection_score,maximum_score_above_best,maximum_state_above_best,mean_current_gold_gap,maximum_current_gold_gap,case_win_rate,control_win_rate,raw_win_rate_difference,unique_control_observations,reused_control_observations,maximum_control_reuse
PRIMARY_VARIABLE_1_TO_3_EXACT_DARK_SEAL,25416,20991,4425,0.8258970727101038,34128,11711,5423,3857,34128,0,0,4.387332759323742,4.215880817815076,0.7499941539519552,0.7499549731395394,318.40717299578057,750.0,0.7728073936448955,0.7320359519159004,0.04077144172899505,31647,2191,5
RELAXED_VARIABLE_1_TO_3_EXACT_PREFERRED,25416,24939,477,0.9812322946175638,41559,13397,6464,5078,34128,7431,3948,4.3047666335033234,4.133080892206857,0.7499941539519552,0.7499549731395394,318.83707500180464,750.0,0.7737679939051285,0.7402929815416283,0.033475012363500256,39027,2241,5
PRIMARY_1_TO_1_EXACT_DARK_SEAL,25416,20991,4425,0.8258970727101038,20991,20991,0,0,20991,0,0,4.339769956875778,4.150602843877915,0.0,0.0,311.9190605497594,750.0,0.7728073936448955,0.7312181411080939,0.04158925253680157,19972,944,4
